CVEGEO,NOM_ENT,NOM_MUN,POB_TOTAL,ALTITUD,AREA,UMBRAL12H,PORCENTA_1,agua_AR,agua_FC,agua_PT,avg_impact,avg_agricultura,avg_construccion,avg_manufactura,semaforo
5002,COAHUILA DE ZARAGOZA,ACUNA,163058,485.8698060941828,1146126.918,87.84531,1.704606,0,2,1,0.3946065,6,33,58.16176470588236,Amarillo
5003,COAHUILA DE ZARAGOZA,ALLENDE,23056,398.5808383233533,25062.53119,85.18428,1.989644,1,5,0,0.6888179,0,8,2,
5004,COAHUILA DE ZARAGOZA,ARTEAGA,29578,2115.4079254079256,161915.3127,68.52672,9.993983,1,4,0,0.74898434,1,6,131.66176470588235,Amarillo
5005,COAHUILA DE ZARAGOZA,CANDELA,1643,484.42148760330576,210281.6512,84.32739,1.071422,1,2,0,0.507179,0,0,1,
5006,COAHUILA DE ZARAGOZA,CASTANOS,29128,890.6103448275862,331609.1647,65.06604,0.614773,1,8,1,0.53612924,0,10,15.136363636363637,
5007,COAHUILA DE ZARAGOZA,CUATRO CIENEGAS,12715,930.7744680851064,1058864.956,54.15678,10.264594,1,2,0,0.3448983,0,0,1,Amarillo
5008,COAHUILA DE ZARAGOZA,ESCOBEDO,3047,444.2857142857143,101816.3453,81.31518,1.619239,0,4,0,0.4429009,0,0,1,
5009,COAHUILA DE ZARAGOZA,FRANCISCO I. MADERO,59035,1103.440414507772,278611.3607,53.7993,18.662213,3,6,1,0.43540314,0,10,1.3333333333333337,Rojo
5010,COAHUILA DE ZARAGOZA,FRONTERA,82409,559.7795698924731,45409.12488,69.70869,1.692642,0,1,0,0.5925231,0,4.857142857142857,39.99587458745874,Verde
5011,COAHUILA DE ZARAGOZA,GENERAL CEPEDA,11898,1401.821428571429,261530.3415,49.01958,1.103552,0,4,1,0.56011754,1,0,1.0833333333333337,Verde
5012,COAHUILA DE ZARAGOZA,GUERRERO,1643,267.61137440758296,291340.3627,87.73974,5.472641,0,8,0,0.49990505,1,0,1.0833333333333337,Amarillo
5013,COAHUILA DE ZARAGOZA,HIDALGO,1735,181.3404255319149,112385.3296,89.81352,4.875878,0,1,0,0.51836026,0,0,0,
5014,COAHUILA DE ZARAGOZA,JIMENEZ,9502,316.9964788732394,219706.5712,110.4975,5.549135,0,3,0,0.50325835,0,0,1,Verde
5015,COAHUILA DE ZARAGOZA,JUAREZ,1584,278.2307692307692,244403.7961,86.15925,7.813828,0,6,0,0.52064663,2,0,1,Amarillo
5016,COAHUILA DE ZARAGOZA,LAMADRID,1764,811.9722222222222,66870.09129,61.13718,0.158973,0,1,0,0.33226365,0,0,1,
5017,COAHUILA DE ZARAGOZA,MATAMOROS,118337,1116.1180327868854,79827.10138,50.27229,15.526865,1,4,1,0.85693395,0,8,136.60714285714283,Rojo
5018,COAHUILA DE ZARAGOZA,MONCLOVA,237951,567.1064935064935,124217.0866,74.35944,1.313633,1,28,1,0.5614804,1,10.428571428571429,44.95463150777552,
5019,COAHUILA DE ZARAGOZA,MORELOS,7928,388.2619047619048,63666.04774,85.07286,3.865643,1,4,0,0.5711252,0,0,11.7,
5020,COAHUILA DE ZARAGOZA,MUZQUIZ,71627,600.6736111111111,825830.0938,83.92365,1.409381,4,3,0,0.50601214,2,10,2.049382716049383,Amarillo
5021,COAHUILA DE ZARAGOZA,NADADORES,6539,558.1574803149606,71173.7579,69.68241,0.613504,1,6,1,0.48253626,0,0,2,
5022,COAHUILA DE ZARAGOZA,NAVA,33129,287.8057742782152,90485.61549,86.30721,20.115222,1,25,0,0.7413725,1,19,1.95,
5023,COAHUILA DE ZARAGOZA,OCAMPO,9642,1179.891891891892,2589886.48,63.48861,10.749043,1,1,2,0.3763096,0,0,1,Amarillo
5024,COAHUILA DE ZARAGOZA,PARRAS,44472,1404.6503856041131,1051778.111,46.75041,7.77055,3,4,0,0.46076837,1,0,102.70542635658914,Amarillo
5025,COAHUILA DE ZARAGOZA,PIEDRAS NEGRAS,176327,239.87777777777777,47324.32703,93.2706,8.79999,0,2,1,0.639893,0,27.416666666666664,44.63030303030303,Amarillo
5026,COAHUILA DE ZARAGOZA,PROGRESO,3239,377.1518987341772,286830.4769,84.97449,5.548427,0,2,0,0.52421755,0,27.416666666666664,44.63030303030303,Rojo
5027,COAHUILA DE ZARAGOZA,RAMOS ARIZPE,122243,1193.678787878788,669250.2745,53.496,0.505099,1,23,1,0.44324413,1,6,103.40772283272284,Amarillo
5028,COAHUILA DE ZARAGOZA,SABINAS,64811,371.1398416886544,196632.9286,86.28183,3.696571,1,4,1,0.5478837,0,9.454545454545457,22.471698113207545,Amarillo
5029,COAHUILA DE ZARAGOZA,SACRAMENTO,2471,600.9393939,28722.83102,64.62891,0.922158,0,3,0,0.41431925,0,0,2,
5030,COAHUILA DE ZARAGOZA,SALTILLO,879958,1855.903743315508,556230.5168,52.88319,10.6375,0,90,4,0.6105282,0,23.09057971014493,44.596509422780606,Rojo
5031,COAHUILA DE ZARAGOZA,SAN BUENAVENTURA,24759,681.6506024096385,640945.7546,78.78546,3.478129,1,4,0,0.37404406,0,0,53.583333333333336,
